,(GMM) Gross Monthly Mean,(GMM) Gross Monthly Mean,(GMM) Gross Monthly Mean,(GMM) Gross Monthly Mean,(GMM) Gross Monthly Mean,(OER) Overall Employment Rate,(OER) Overall Employment Rate,(OER) Overall Employment Rate,(OER) Overall Employment Rate,(OER) Overall Employment Rate,(PFTER) Permanent Full Time Employment Rate,(PFTER) Permanent Full Time Employment Rate,(PFTER) Permanent Full Time Employment Rate,(PFTER) Permanent Full Time Employment Rate,(PFTER) Permanent Full Time Employment Rate
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
degree_category,,,,,,,,,,,,,,,
Arts & Social Sciences,3475.0941898732394,3437.5,512.2672159937422,2485.0,5418.0,88.72394366197183,89.05,7.275012413310696,66.7,100.0,73.07887323943662,74.4,14.938036703843581,22.6,100.0
Business,3840.810416768116,3724.5,777.9142989428271,2344.0,6026.0,93.5304347826087,94.45,4.8221903236613715,68.2,100.0,83.33188405797101,86.25,13.942692853808985,22.6,100.0
Computer Science,4317.7371750458715,4192.0,857.3954908956707,2910.0,7121.0,94.46238532110091,95.1,4.312767200328225,81.5,100.0,89.86605504587156,90.9,7.497940707207123,39.5,100.0
Engineering,3791.9277212119405,3691.0,502.74485617982725,2840.0,6367.0,90.8731343283582,91.8,6.091713771470108,71.8,100.0,82.93313432835821,85.5,11.047353465409087,35.3,100.0
Law,5303.733333333334,5246.5,408.5937138387053,4804.0,6429.0,97.07666666666667,97.44999999999999,2.2929702666363023,91.8,100.0,95.39666666666668,95.75,3.3054274420583916,86.8,100.0
Medicine & Health,3756.5752732166666,3606.0,743.3184380657895,2577.0,5661.0,97.45333333333333,98.35,2.7815046937911,90.7,100.0,94.47166666666666,96.1,5.55386845381306,77.3,100.0
Other,3582.3259471039755,3466.0,607.3298680590615,2100.0,7139.0,91.35107033639143,92.6,7.058988336548543,69.2,100.0,79.1348623853211,81.6,17.034114324629932,14.3,100.0
Sciences,3576.448275862069,3490.0,407.593511287103,3083.0,4677.0,85.82068965517242,85.7,7.01703943016797,70.1,100.0,70.54137931034482,69.6,13.71207802427635,40.0,100.0
